date,name,calls,voicemail,call_time,request_type,number_done,pages_sent,time_spent,cds_created,images_clouded,comment
06/25/2022,Karen Smith,90,5,6,Regulatory,88,2086,7,21,123,
08/28/2023,Ava Singh,119,15,3,Regulatory,47,4037,0,38,187,
09/09/2023,Liam Patel,157,15,4,Patient,96,4399,6,5,179,
06/15/2023,Elijah Nguyen,30,64,7,Patient,86,4499,6,16,142,
12/13/2022,Noah Rodriguez,232,30,4,Insurance,64,2463,8,12,2,
05/18/2023,Liam Patel,170,35,3,Attorney,70,1701,7,37,114,
04/25/2022,Noah Rodriguez,186,36,3,Insurance,8,2051,1,14,182,
02/13/2022,Sophia Kim,216,69,3,Attorney,62,226,3,6,183,
12/21/2022,Noah Rodriguez,224,74,8,Regulatory,6,4353,3,3,29,
03/13/2023,Noah Rodriguez,148,48,6,Insurance,15,3341,1,17,113,
04/11/2023,Elijah Nguyen,122,3,8,Attorney,19,1104,2,33,4,
04/04/2022,Liam Patel,31,65,7,Continuing care,46,4833,0,28,191,
03/05/2022,Sophia Kim,225,71,3,Work comp,2,1281,5,19,19,
03/05/2023,Ava Singh,222,28,6,Patient,74,1463,3,20,124,
12/27/2023,Noah Rodriguez,129,57,3,Regulatory,50,89,4,39,65,
03/18/2022,Karen Smith,220,50,5,Law enforcement,68,1168,0,2,56,
05/04/2023,Liam Patel,247,34,3,Law enforcement,61,2637,6,31,121,
02/10/2022,Karen Smith,16,42,1,Insurance,98,3614,1,8,14,
05/12/2022,Liam Patel,88,3,6,Continuing care,58,3016,5,7,37,
03/03/2022,Liam Patel,0,71,2,Continuing care,58,3798,7,19,115,
07/18/2023,Sophia Kim,4,15,1,Insurance,95,1145,5,23,103,
09/23/2022,Elijah Nguyen,154,49,4,Continuing care,16,3421,6,38,119,
09/04/2022,Ava Singh,107,20,7,Continuing care,35,1534,7,21,82,
11/26/2022,Ava Singh,167,57,0,Insurance,82,1051,3,35,144,
11/21/2023,Elijah Nguyen,60,28,2,Work comp,93,40,4,40,121,
09/16/2023,Elijah Nguyen,25,37,3,Attorney,44,1942,4,11,97,
03/06/2022,Ava Singh,47,70,3,Patient,100,806,3,39,189,
11/16/2023,Noah Rodriguez,76,69,8,Continuing care,97,3411,1,21,37,
05/07/2022,Sophia Kim,136,15,5,Work comp,46,2452,1,12,67,
04/08/2022,Sophia Kim,101,41,7,Attorney,81,2350,5,17,144,
04/09/2022,James McCarty,59,11,3,Work comp,97,1411,6,43,127,
10/19/2022,Karen Smith,219,53,2,Attorney,76,187,8,25,106,
10/26/2023,Elijah Nguyen,145,19,7,Insurance,10,4480,7,20,146,
12/03/2022,Sophia Kim,196,58,8,Law enforcement,5,3762,6,33,65,
07/20/2022,Sophia Kim,50,55,7,Continuing care,89,3922,7,37,95,
11/11/2023,Liam Patel,56,60,4,Law enforcement,18,3008,6,13,126,
02/23/2023,Noah Rodriguez,161,47,6,Attorney,81,3158,8,25,34,
04/09/2023,Noah Rodriguez,212,4,2,Law enforcement,59,3862,8,31,60,
04/25/2023,James McCarty,24,49,4,Patient,45,2517,8,8,187,
03/22/2022,Liam Patel,239,27,2,Law enforcement,73,4273,1,2,87,
09/12/2022,Ava Singh,218,2,2,Work comp,73,1918,0,42,174,
07/11/2022,Karen Smith,23,20,8,Work comp,67,4329,2,25,94,
09/09/2022,James McCarty,119,5,8,Continuing care,9,3050,2,32,70,
02/25/2023,Sophia Kim,219,42,4,Patient,87,897,8,35,24,
10/13/2022,Elijah Nguyen,25,47,4,Continuing care,46,4734,2,2,187,
06/25/2023,Noah Rodriguez,210,16,2,Regulatory,53,1061,0,23,89,
10/16/2022,Noah Rodriguez,236,12,4,Insurance,20,3711,2,42,134,
12/28/2022,Sophia Kim,23,24,2,Continuing care,15,2133,6,10,158,
05/24/2022,Noah Rodriguez,155,8,4,Continuing care,80,1809,5,40,8,
01/18/2023,Liam Patel,244,57,7,Patient,41,1347,8,38,84,
11/03/2022,Karen Smith,112,33,2,Regulatory,50,4211,0,44,125,
03/22/2022,Karen Smith,83,4,7,Regulatory,38,3130,1,5,5,
02/22/2022,Karen Smith,138,68,5,Regulatory,89,3359,0,41,45,
03/30/2023,Ava Singh,52,56,1,Patient,43,136,0,2,118,
10/08/2023,Karen Smith,22,61,3,Work comp,20,2061,8,24,121,
05/25/2022,Elijah Nguyen,188,23,3,Continuing care,84,1495,1,5,100,
02/12/2023,Noah Rodriguez,23,27,1,Work comp,99,3368,4,41,74,
12/06/2023,Noah Rodriguez,197,71,0,Attorney,59,1730,6,2,164,
08/17/2023,Liam Patel,244,13,2,Insurance,38,634,4,0,79,
01/30/2022,Karen Smith,167,14,6,Law enforcement,12,2401,1,24,157,
04/29/2023,James McCarty,146,10,0,Insurance,70,3165,5,19,142,
06/09/2022,Elijah Nguyen,187,0,6,Work comp,85,4011,2,34,113,
08/17/2023,Liam Patel,83,43,8,Regulatory,28,2931,0,38,196,
11/18/2022,Liam Patel,76,13,7,Law enforcement,3,213,6,5,138,
07/19/2022,Ava Singh,168,59,4,Insurance,63,2917,8,27,196,
08/06/2023,Ava Singh,0,31,5,Continuing care,61,3220,7,21,66,
12/26/2022,Karen Smith,192,7,8,Work comp,94,512,1,34,118,
12/28/2023,Elijah Nguyen,65,35,3,Continuing care,96,3387,5,24,69,
09/21/2022,Liam Patel,203,69,1,Law enforcement,28,1565,0,31,40,
10/15/2023,James McCarty,23,42,7,Continuing care,12,855,3,43,90,
05/11/2022,Liam Patel,178,47,2,Continuing care,72,4948,8,10,29,
06/14/2023,Karen Smith,158,24,6,Patient,91,2337,7,7,83,
03/07/2022,Sophia Kim,88,1,2,Work comp,99,4354,3,20,87,
05/18/2023,Ava Singh,110,19,0,Law enforcement,47,2758,1,42,105,
06/30/2022,Karen Smith,114,20,0,Regulatory,18,2534,8,43,196,
07/13/2022,Sophia Kim,35,43,7,Insurance,68,3261,8,1,129,
01/11/2023,Noah Rodriguez,184,3,4,Law enforcement,39,4849,2,38,163,
01/01/2022,James McCarty,90,61,8,Law enforcement,18,1051,6,17,103,
04/05/2023,Sophia Kim,181,35,3,Work comp,4,2174,8,20,78,
05/21/2022,James McCarty,217,72,2,Work comp,42,1564,8,2,111,
04/11/2023,Liam Patel,8,49,1,Attorney,60,3740,3,18,91,
05/08/2022,Liam Patel,117,34,4,Regulatory,93,4199,1,40,183,
11/05/2022,Ava Singh,31,28,6,Work comp,26,1872,1,34,63,
02/08/2022,James McCarty,64,25,6,Attorney,7,709,5,27,123,
01/26/2023,Karen Smith,129,13,2,Law enforcement,3,1118,3,4,48,
07/27/2022,Ava Singh,239,13,6,Attorney,11,931,6,17,17,
11/27/2023,Sophia Kim,185,17,4,Patient,49,1643,2,15,185,
08/28/2023,Karen Smith,203,44,4,Insurance,14,4689,1,37,34,
11/22/2023,Elijah Nguyen,195,31,0,Law enforcement,29,1044,3,7,178,
04/22/2022,Ava Singh,147,49,8,Insurance,29,2150,4,33,101,
03/11/2022,Karen Smith,87,30,3,Work comp,101,3595,0,28,108,
01/09/2022,James McCarty,47,38,4,Patient,35,1716,3,34,37,
10/23/2022,Ava Singh,183,0,1,Work comp,8,2695,0,14,159,
05/25/2022,Karen Smith,191,9,2,Continuing care,75,699,6,14,129,
08/18/2022,Ava Singh,37,24,3,Attorney,72,201,0,6,83,
12/17/2022,Sophia Kim,128,42,0,Regulatory,67,3433,2,1,129,
07/25/2023,Noah Rodriguez,202,74,3,Patient,90,3689,7,20,61,
04/01/2022,Karen Smith,141,52,6,Insurance,15,4060,3,42,64,
01/09/2022,James McCarty,130,46,3,Insurance,72,4030,8,16,170,
02/27/2022,Karen Smith,6,68,7,Regulatory,55,2893,3,10,58,
08/26/2023,Liam Patel,13,42,7,Attorney,16,3321,1,10,124,
12/24/2022,Elijah Nguyen,126,47,1,Regulatory,61,2534,1,27,66,
10/21/2022,Karen Smith,34,21,8,Continuing care,44,3521,6,6,167,
11/26/2022,Noah Rodriguez,209,66,6,Law enforcement,29,444,5,3,188,
05/21/2022,Elijah Nguyen,34,1,4,Work comp,78,2598,3,30,2,
05/12/2022,Liam Patel,154,7,8,Law enforcement,66,174,3,24,146,
12/17/2022,Sophia Kim,234,19,6,Insurance,29,845,2,32,140,
01/11/2023,Karen Smith,76,67,5,Work comp,29,1557,6,10,168,
03/31/2023,Elijah Nguyen,98,9,0,Continuing care,24,2420,5,10,147,
03/17/2023,Liam Patel,113,15,2,Attorney,81,3825,7,29,79,
06/01/2023,Noah Rodriguez,207,37,1,Work comp,59,0,1,21,32,
06/09/2023,Liam Patel,203,21,5,Insurance,37,4301,1,38,154,
03/14/2023,Noah Rodriguez,13,25,5,Patient,7,4079,1,15,180,
02/23/2022,Liam Patel,227,74,4,Patient,70,2655,7,28,135,
11/03/2023,Elijah Nguyen,157,1,8,Law enforcement,49,1126,0,40,99,
11/19/2023,Elijah Nguyen,61,42,2,Law enforcement,61,4654,3,17,31,
03/18/2022,Noah Rodriguez,133,41,8,Attorney,77,1957,7,24,181,
03/24/2023,James McCarty,32,66,2,Attorney,21,256,1,18,9,
11/15/2023,Karen Smith,154,51,4,Insurance,86,1249,2,17,2,
03/21/2023,Elijah Nguyen,98,74,7,Regulatory,81,778,0,27,23,
06/29/2022,Elijah Nguyen,166,27,4,Attorney,57,3727,5,0,124,
01/14/2022,Elijah Nguyen,185,63,8,Regulatory,70,2486,8,9,81,
05/01/2023,Liam Patel,156,64,5,Work comp,82,4911,7,37,118,
10/22/2022,Ava Singh,103,47,5,Regulatory,60,2399,8,28,40,
06/26/2023,Liam Patel,73,1,1,Attorney,94,4777,3,8,8,
10/31/2022,Ava Singh,198,24,6,Law enforcement,2,4738,8,3,84,
12/20/2022,Ava Singh,17,64,2,Regulatory,11,127,6,22,41,
04/20/2023,Noah Rodriguez,138,4,8,Insurance,75,3191,6,26,65,
06/25/2022,James McCarty,102,49,2,Regulatory,53,1683,4,29,149,
04/26/2022,Elijah Nguyen,32,12,4,Insurance,66,4217,4,12,151,
11/06/2023,Noah Rodriguez,241,38,2,Law enforcement,88,4688,6,9,1,
05/29/2022,James McCarty,51,7,3,Patient,64,289,7,42,74,
12/18/2023,Sophia Kim,27,39,4,Attorney,67,4695,8,22,54,
11/24/2022,Elijah Nguyen,14,1,0,Continuing care,60,764,1,22,167,
07/08/2022,Elijah Nguyen,33,2,4,Regulatory,7,837,7,31,172,
06/19/2023,Liam Patel,40,31,0,Work comp,71,1676,8,38,199,
07/18/2022,Liam Patel,183,74,0,Attorney,89,2356,0,1,158,
09/15/2023,Ava Singh,63,64,2,Work comp,95,2217,8,6,95,
09/05/2022,Ava Singh,103,7,3,Law enforcement,102,4958,3,38,113,
07/21/2023,Ava Singh,39,28,8,Law enforcement,64,2423,8,31,0,
09/14/2022,Karen Smith,178,25,7,Law enforcement,74,2400,8,21,46,
04/07/2023,Elijah Nguyen,165,36,2,Law enforcement,22,1733,0,20,145,
06/06/2023,Elijah Nguyen,163,62,8,Work comp,60,1913,4,22,51,
02/04/2022,Ava Singh,47,14,4,Insurance,27,272,0,5,155,
12/18/2023,Sophia Kim,0,37,8,Regulatory,28,3987,0,41,170,
08/28/2023,Elijah Nguyen,206,62,4,Work comp,16,4402,3,44,198,
10/08/2022,Ava Singh,13,2,7,Patient,102,142,2,21,161,
09/17/2022,Ava Singh,40,47,0,Patient,5,2259,2,19,100,
04/26/2022,Sophia Kim,91,7,5,Work comp,33,3216,5,33,33,
05/06/2022,Karen Smith,25,7,3,Patient,6,3083,5,26,145,
03/21/2023,Sophia Kim,183,49,7,Work comp,20,4617,2,21,26,
02/23/2022,James McCarty,179,58,1,Continuing care,18,1032,2,27,180,
06/17/2023,Noah Rodriguez,36,14,3,Patient,19,4517,6,29,23,
09/07/2022,Liam Patel,21,59,1,Patient,94,823,3,20,65,
10/14/2023,Ava Singh,56,24,5,Law enforcement,58,2464,3,26,47,
06/12/2022,Sophia Kim,219,43,3,Work comp,68,1752,8,4,50,
12/29/2023,Karen Smith,211,16,1,Attorney,28,3840,8,42,88,
08/05/2022,Karen Smith,204,14,1,Regulatory,82,1742,3,36,191,
10/23/2022,Sophia Kim,36,22,8,Insurance,24,2226,4,20,115,
02/15/2022,Elijah Nguyen,127,7,0,Insurance,22,2125,6,44,160,
06/10/2022,Ava Singh,55,18,6,Insurance,40,3814,4,13,108,
12/21/2023,Karen Smith,88,47,1,Regulatory,6,2938,1,32,164,
02/02/2023,Sophia Kim,125,32,8,Work comp,62,950,6,42,11,
02/23/2023,Sophia Kim,135,44,0,Patient,54,3387,5,11,89,
08/06/2023,Liam Patel,177,72,8,Continuing care,103,1929,7,19,176,
06/27/2022,Elijah Nguyen,152,51,2,Law enforcement,60,2462,4,36,61,
06/20/2023,Liam Patel,248,23,6,Attorney,8,2595,1,23,58,
01/06/2022,Karen Smith,7,56,3,Insurance,96,1433,3,41,104,
01/17/2023,Liam Patel,55,6,3,Work comp,16,1509,5,31,80,
04/17/2022,Ava Singh,120,67,5,Work comp,52,4212,1,19,159,
08/12/2023,James McCarty,113,16,1,Law enforcement,7,4653,6,6,127,
02/21/2023,James McCarty,37,37,0,Law enforcement,27,1228,1,25,113,
01/05/2022,Sophia Kim,50,11,3,Attorney,78,3555,0,13,13,
04/09/2023,Sophia Kim,66,30,1,Patient,103,1898,0,25,111,
08/04/2022,James McCarty,90,24,8,Work comp,32,517,2,3,163,
02/15/2022,Ava Singh,154,1,8,Work comp,75,4696,8,25,190,
07/29/2022,Sophia Kim,221,47,5,Regulatory,12,1224,1,5,107,
04/19/2023,Sophia Kim,132,39,8,Work comp,61,4688,1,41,54,
01/27/2022,Elijah Nguyen,224,25,7,Insurance,67,1805,8,13,139,
08/02/2022,Ava Singh,228,24,2,Continuing care,15,276,6,6,76,
01/23/2023,Sophia Kim,156,8,5,Law enforcement,59,2130,8,5,104,
12/11/2022,Ava Singh,107,22,5,Patient,9,3659,2,12,68,
05/11/2023,Liam Patel,17,37,1,Law enforcement,85,1330,0,13,139,
06/18/2022,Sophia Kim,51,33,8,Law enforcement,53,3527,5,5,191,
09/07/2023,Elijah Nguyen,248,70,0,Continuing care,61,4063,0,39,41,
02/21/2023,James McCarty,88,0,4,Insurance,74,3923,1,27,191,
01/10/2023,James McCarty,20,54,4,Law enforcement,80,3406,8,41,199,
12/29/2022,Liam Patel,193,44,8,Continuing care,67,1389,0,13,195,
09/14/2023,Liam Patel,34,61,7,Regulatory,42,4902,1,0,133,
11/07/2023,Sophia Kim,28,14,2,Continuing care,93,4102,0,6,120,
11/03/2023,Ava Singh,226,57,8,Patient,41,28,3,37,56,
10/18/2023,Sophia Kim,211,46,8,Work comp,11,1918,3,36,168,
07/29/2022,Elijah Nguyen,232,38,6,Insurance,70,2795,2,10,159,
07/04/2022,Noah Rodriguez,179,25,8,Attorney,53,3335,0,16,100,
02/14/2023,Noah Rodriguez,100,71,3,Law enforcement,72,2250,5,16,180,
03/02/2022,Liam Patel,212,26,7,Attorney,93,2843,4,12,65,
10/13/2023,James McCarty,38,48,8,Regulatory,17,2086,8,10,111,
03/08/2023,Ava Singh,18,8,5,Attorney,63,2173,6,8,85,
08/20/2023,Ava Singh,158,29,6,Insurance,52,463,3,4,124,
10/12/2022,James McCarty,138,6,8,Work comp,100,1225,2,10,117,
01/22/2023,Noah Rodriguez,227,30,2,Continuing care,86,3146,6,1,78,
11/23/2022,Ava Singh,38,71,1,Insurance,90,243,2,31,70,
07/15/2023,Elijah Nguyen,14,63,4,Law enforcement,59,317,2,14,160,
12/17/2022,Sophia Kim,43,30,0,Work comp,3,1720,4,16,5,
10/08/2022,James McCarty,119,74,1,Continuing care,79,2686,0,34,95,
11/05/2023,Elijah Nguyen,111,50,2,Insurance,74,16,4,31,94,
12/21/2023,Elijah Nguyen,51,11,5,Patient,90,1840,1,9,65,
01/25/2022,Karen Smith,128,11,2,Regulatory,61,2221,4,8,193,
05/06/2023,Elijah Nguyen,4,1,5,Regulatory,39,1343,6,1,166,
09/19/2023,Sophia Kim,153,56,8,Continuing care,93,1293,8,0,60,
04/25/2022,Liam Patel,151,35,4,Attorney,90,957,0,20,171,
01/24/2023,Sophia Kim,210,40,2,Work comp,78,3877,4,27,145,
06/04/2022,Noah Rodriguez,113,8,2,Law enforcement,40,195,5,12,29,
12/20/2022,Sophia Kim,217,43,8,Attorney,32,99,1,3,22,
01/10/2023,Sophia Kim,80,55,8,Work comp,60,4623,4,17,103,
05/24/2022,James McCarty,148,6,6,Insurance,40,222,6,29,54,
09/10/2022,Elijah Nguyen,177,38,5,Patient,33,4119,8,0,78,
03/29/2022,Elijah Nguyen,12,18,6,Regulatory,17,3909,8,23,90,
07/01/2023,James McCarty,211,38,4,Insurance,72,2891,1,20,161,
10/08/2023,Noah Rodriguez,164,60,1,Regulatory,35,4279,1,0,55,
06/12/2023,Noah Rodriguez,135,49,5,Regulatory,55,2920,2,34,140,
09/11/2022,Noah Rodriguez,175,69,3,Work comp,56,4818,6,1,42,
01/24/2022,Liam Patel,46,30,5,Attorney,28,762,1,8,53,
06/29/2022,Sophia Kim,192,15,7,Insurance,76,1332,4,24,160,
05/19/2022,Noah Rodriguez,180,7,8,Continuing care,23,3144,0,15,96,
06/24/2023,Elijah Nguyen,41,28,2,Insurance,76,2755,6,9,30,
09/22/2022,Sophia Kim,41,3,0,Work comp,81,824,1,26,194,
04/22/2023,Elijah Nguyen,39,5,4,Continuing care,1,2993,4,4,124,
12/10/2023,Noah Rodriguez,99,31,7,Continuing care,48,4806,7,10,85,
12/18/2023,James McCarty,183,24,5,Work comp,52,1964,4,32,166,
04/02/2022,Ava Singh,68,55,1,Work comp,24,1415,3,24,142,
11/01/2023,Liam Patel,196,43,1,Law enforcement,25,809,3,36,190,
02/18/2023,Ava Singh,159,27,2,Regulatory,67,4619,1,26,199,
12/02/2022,Noah Rodriguez,175,8,1,Regulatory,51,4903,3,9,10,
05/16/2023,Liam Patel,2,70,6,Regulatory,27,2228,8,21,35,
02/05/2022,Sophia Kim,160,42,6,Continuing care,49,4622,8,20,173,
09/30/2023,Liam Patel,13,19,3,Patient,41,1822,7,37,187,
07/11/2023,Ava Singh,172,46,6,Patient,70,949,1,28,195,
01/15/2023,Liam Patel,54,37,8,Regulatory,101,3917,0,6,151,
12/29/2023,Karen Smith,240,9,2,Law enforcement,32,284,8,31,61,
07/15/2023,James McCarty,242,49,3,Work comp,30,1188,1,17,38,
05/11/2022,Sophia Kim,104,34,2,Patient,25,3807,6,9,180,
10/17/2023,Sophia Kim,65,50,6,Work comp,75,2419,6,2,45,
11/08/2023,Elijah Nguyen,79,25,2,Patient,26,4337,2,15,135,
10/20/2022,Noah Rodriguez,47,72,3,Patient,1,2104,6,35,98,
02/12/2023,Sophia Kim,32,42,0,Law enforcement,57,792,8,32,90,
06/12/2022,Sophia Kim,42,44,3,Regulatory,0,4971,3,37,170,
08/25/2023,James McCarty,140,29,3,Insurance,96,2696,6,13,105,
01/12/2022,Noah Rodriguez,175,18,5,Work comp,9,3648,5,38,184,
06/03/2023,Karen Smith,33,8,1,Regulatory,80,2892,5,41,121,
11/01/2022,Ava Singh,60,29,6,Insurance,61,523,5,44,103,
04/18/2022,Ava Singh,201,20,4,Law enforcement,21,4296,1,36,122,
01/11/2022,James McCarty,198,19,0,Work comp,74,654,0,31,43,
10/21/2023,Liam Patel,117,14,8,Law enforcement,16,1556,1,16,155,
07/01/2022,Liam Patel,24,30,8,Regulatory,58,4003,8,18,114,
05/09/2022,Ava Singh,21,53,4,Continuing care,97,1633,0,40,40,
06/02/2023,Noah Rodriguez,3,39,8,Continuing care,64,2723,7,11,46,
02/11/2022,Noah Rodriguez,7,36,5,Work comp,46,393,7,29,149,
09/29/2023,Sophia Kim,66,22,7,Insurance,7,1811,6,13,197,
07/26/2022,James McCarty,234,30,8,Attorney,14,779,7,9,32,
07/24/2023,Noah Rodriguez,239,42,7,Continuing care,100,973,7,10,65,
09/17/2023,James McCarty,29,21,3,Attorney,11,320,2,26,105,
05/13/2023,James McCarty,60,71,0,Continuing care,91,297,4,43,18,
06/12/2023,James McCarty,117,54,2,Regulatory,12,3925,3,12,32,
11/01/2022,Elijah Nguyen,147,29,3,Work comp,89,401,4,24,76,
08/08/2022,Elijah Nguyen,145,63,4,Law enforcement,55,2086,6,43,103,
12/23/2023,James McCarty,115,53,2,Attorney,11,998,6,10,137,
05/22/2022,Karen Smith,153,23,2,Work comp,25,1616,2,27,56,
10/24/2023,Noah Rodriguez,55,47,7,Patient,38,3063,8,43,160,
09/11/2023,James McCarty,18,60,6,Law enforcement,80,477,5,42,9,
11/17/2023,Noah Rodriguez,24,74,2,Patient,59,4371,0,1,129,
06/13/2023,Karen Smith,116,9,6,Patient,53,684,7,21,0,
11/13/2023,Elijah Nguyen,183,18,3,Work comp,94,4146,8,2,8,
10/11/2022,Sophia Kim,160,38,2,Regulatory,87,2043,8,9,26,
02/14/2023,Elijah Nguyen,67,51,6,Attorney,48,3884,2,11,146,
09/10/2023,Noah Rodriguez,60,11,8,Regulatory,3,3042,8,2,32,
12/06/2022,Karen Smith,98,37,2,Attorney,82,2093,1,10,4,
09/09/2023,Elijah Nguyen,75,28,3,Law enforcement,20,3464,0,30,188,
06/13/2022,Elijah Nguyen,61,3,4,Continuing care,10,3924,1,27,170,
06/24/2022,Liam Patel,76,16,7,Work comp,86,1764,2,14,103,
03/18/2023,Karen Smith,46,61,0,Law enforcement,58,255,4,6,185,
04/04/2023,Karen Smith,114,60,8,Insurance,0,3621,4,41,42,
03/06/2023,Sophia Kim,234,68,2,Work comp,75,1675,8,36,175,
10/29/2022,Noah Rodriguez,38,10,3,Patient,15,3740,8,32,18,
11/27/2023,Sophia Kim,124,16,2,Insurance,32,74,0,37,46,
06/20/2022,Elijah Nguyen,111,41,2,Regulatory,40,4734,3,4,75,
11/08/2022,Ava Singh,69,23,0,Law enforcement,96,2352,0,19,197,
08/24/2023,Karen Smith,32,48,1,Patient,7,3319,6,25,86,
02/03/2023,Liam Patel,46,8,6,Insurance,77,3417,0,43,149,
03/29/2022,James McCarty,244,23,6,Law enforcement,35,3417,6,40,111,
01/13/2022,Liam Patel,51,53,8,Insurance,12,652,6,42,22,
04/11/2023,Elijah Nguyen,4,28,8,Law enforcement,20,3290,8,4,41,
01/08/2023,James McCarty,101,24,1,Insurance,54,3197,7,32,10,
10/13/2023,Liam Patel,92,51,7,Insurance,98,3468,3,33,95,
07/27/2023,Liam Patel,165,37,7,Insurance,12,2498,8,1,128,
07/06/2023,Liam Patel,76,44,8,Work comp,78,867,5,8,178,
07/29/2023,Ava Singh,244,51,4,Continuing care,40,139,3,44,12,
01/30/2022,Karen Smith,1,68,5,Insurance,22,726,1,43,193,
10/11/2022,Sophia Kim,22,37,6,Continuing care,98,1609,1,27,139,
02/20/2022,Sophia Kim,17,7,5,Insurance,46,1199,6,24,171,
07/31/2022,Sophia Kim,232,40,4,Work comp,29,3497,6,2,52,
03/05/2023,Sophia Kim,118,22,1,Patient,70,642,0,14,6,
10/04/2022,James McCarty,138,20,4,Continuing care,90,4719,4,21,40,
05/29/2023,Noah Rodriguez,168,3,0,Attorney,34,967,4,31,63,
06/14/2023,James McCarty,123,44,8,Attorney,19,1716,4,12,111,
01/03/2022,Liam Patel,125,60,8,Regulatory,27,843,2,10,108,
08/22/2023,Karen Smith,182,25,8,Law enforcement,13,3266,1,36,108,
04/23/2022,Liam Patel,210,38,8,Attorney,44,1926,5,27,169,
12/23/2022,Noah Rodriguez,239,70,0,Patient,103,4613,1,30,161,
